Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
 -0.031614,-9.645326,-0.061646,-0.008715,-0.048899,-0.006973
 -0.051573,-9.625615,-0.100807,-0.008715,-0.048899,-0.006973
 -0.051573,-9.625615,-0.100807,-0.006970,-0.034936,0.000008
 -0.071440,-9.626181,-0.060225,-0.006970,-0.034936,0.000008
 -0.071440,-9.626181,-0.060225,-0.005224,-0.026209,-0.003482
 0.027932,-9.623940,-0.103449,-0.005224,-0.026209,-0.003482
 0.028015,-9.644069,-0.063627,-0.005224,-0.026209,-0.003482
 0.028015,-9.644069,-0.063627,-0.001734,-0.013992,0.000008
 0.008066,-9.624504,-0.062867,-0.001734,-0.013992,0.000008
 0.008066,-9.624504,-0.062867,0.000012,-0.010502,0.001754
 -0.071440,-9.626181,-0.060225,0.000012,-0.010502,0.001754
 -0.071440,-9.626181,-0.060225,0.005248,-0.005266,0.000008
 -0.031614,-9.645326,-0.061646,0.005248,-0.005266,0.000008
 -0.031614,-9.645326,-0.061646,0.005248,-0.000030,0.005244
 -0.011820,-9.624778,-0.102128,0.005248,-0.000030,0.005244
 0.007983,-9.604375,-0.102688,0.005248,-0.000030,0.005244
 0.007983,-9.604375,-0.102688,0.003502,0.001716,0.000008
 0.008061,-9.624432,-0.082828,0.003502,0.001716,0.000008
 0.008061,-9.624432,-0.082828,0.012229,0.003461,0.003499
 0.008139,-9.644487,-0.062967,0.012229,0.003461,0.003499
 0.008139,-9.644487,-0.062967,0.015720,-0.000030,0.003499
 -0.011893,-9.604795,-0.102028,0.015720,-0.000030,0.003499
 -0.011893,-9.604795,-0.102028,0.022701,-0.000030,0.006990
 -0.011811,-9.624924,-0.062207,0.022701,-0.000030,0.006990
 0.008141,-9.644525,-0.052987,0.022701,-0.000030,0.006990
 0.008141,-9.644525,-0.052987,0.015720,-0.000030,0.005244
 -0.011872,-9.605124,-0.012205,0.015720,-0.000030,0.005244
 -0.011872,-9.605124,-0.012205,0.012229,0.001716,0.006990
 -0.011731,-9.645018,-0.032366,0.012229,0.001716,0.006990
 -0.011731,-9.645018,-0.032366,0.000012,-0.000030,-0.005228
 -0.031753,-9.605470,-0.031505,0.000012,-0.000030,-0.005228
 0.007992,-9.604521,-0.062767,0.000012,0.005206,0.000008
 0.008212,-9.664471,-0.063067,-0.006970,-0.000030,-0.001737
 0.008066,-9.624504,-0.062867,-0.006970,-0.000030,-0.001737
 0.008066,-9.624504,-0.062867,-0.012206,0.003461,-0.003482
 -0.031541,-9.665309,-0.061746,-0.012206,0.003461,-0.003482
 -0.011743,-9.644835,-0.082267,-0.015696,0.003461,-0.005228
 -0.031612,-9.645363,-0.051666,-0.019187,0.001716,-0.010464
 -0.011743,-9.644835,-0.082267,-0.019187,0.001716,-0.010464
 -0.011743,-9.644835,-0.082267,-0.013951,-0.000030,-0.006973
 -0.011743,-9.644835,-0.082267,-0.013951,-0.000030,-0.006973
 -0.011743,-9.644835,-0.082267,-0.012206,0.003461,-0.003482
 -0.011820,-9.624778,-0.102128,-0.012206,0.003461,-0.003482
 -0.011820,-9.624778,-0.102128,-0.005224,-0.003520,-0.003482
 -0.031614,-9.645326,-0.061646,-0.005224,-0.003520,-0.003482
 0.027859,-9.603956,-0.103349,-0.005224,-0.003520,-0.003482
 0.027859,-9.603956,-0.103349,-0.006970,-0.001775,0.000008
 -0.011816,-9.624851,-0.082167,-0.006970,-0.001775,0.000008
 -0.011816,-9.624851,-0.082167,-0.001734,-0.003520,0.000008
 0.008139,-9.644487,-0.062967,-0.001734,-0.003520,0.000008
