[1625016160.861961] accel,-0.063930,-11.637152,0.648323,gyro,0.535828,0.113417,0.996591
[1625016161.046224] accel,-0.349749,-9.688001,-1.139128,gyro,0.535828,0.113417,0.996591
[1625016161.049133] accel,-0.349749,-9.688001,-1.139128,gyro,-0.275750,0.031386,1.040224
[1625016161.050674] accel,-0.675882,-10.203940,-1.280479,gyro,-0.275750,0.031386,1.040224
[1625016161.051828] accel,-0.675882,-10.203940,-1.280479,gyro,-0.041876,0.069784,1.090839
[1625016161.055701] accel,-0.507585,-10.001756,-0.955746,gyro,-0.041876,0.069784,1.090839
[1625016161.056728] accel,-0.069460,-10.175284,-0.182734,gyro,-0.041876,0.069784,1.090839
[1625016161.060219] accel,-0.069460,-10.175284,-0.182734,gyro,0.340351,0.109926,1.136218
[1625016161.061041] accel,-0.248698,-10.060511,0.193080,gyro,0.340351,0.109926,1.136218
[1625016161.064345] accel,-0.248698,-10.060511,0.193080,gyro,0.476487,0.113417,1.186832
[1625016161.065865] accel,-0.597110,-9.917526,0.085624,gyro,0.476487,0.113417,1.186832
[1625016161.068191] accel,-0.597110,-9.917526,0.085624,gyro,0.432853,0.127379,1.237447
[1625016161.072061] accel,-1.104337,-9.846920,-0.266404,gyro,0.432853,0.127379,1.237447
[1625016161.072821] accel,-1.592749,-9.486097,-0.627625,gyro,0.424127,0.092473,1.265372
[1625016161.080271] accel,-1.592749,-9.486097,-0.627625,gyro,0.506157,-0.000030,1.279335
[1625016161.081143] accel,-1.592257,-9.597399,-0.248924,gyro,0.506157,-0.000030,1.279335
[1625016161.091720] accel,-1.263834,-9.673059,0.458359,gyro,0.644038,-0.204233,1.286316
[1625016161.095475] accel,-0.965289,-9.748358,0.897165,gyro,0.684181,-0.281028,1.295043
[1625016161.096354] accel,-0.088994,-10.180980,1.255087,gyro,0.684181,-0.281028,1.295043
[1625016161.099954] accel,-0.088994,-10.180980,1.255087,gyro,0.689417,-0.350841,1.314241
[1625016161.100744] accel,0.091222,-10.546574,1.157473,gyro,0.689417,-0.350841,1.314241
[1625016161.103789] accel,0.091222,-10.546574,1.157473,gyro,0.764466,-0.338623,1.378818
[1625016161.108898] accel,-0.653556,-10.703302,1.490932,gyro,0.764466,-0.338623,1.378818
[1625016161.110226] accel,-0.653556,-10.703302,1.490932,gyro,0.925036,-0.268810,1.483538
[1625016161.115895] accel,-0.933195,-10.358029,1.112695,gyro,0.921546,-0.251357,1.598730
[1625016161.116756] accel,-1.042420,-10.390089,1.056297,gyro,0.921546,-0.251357,1.598730
[1625016161.119394] accel,-1.042420,-10.390089,1.056297,gyro,0.844751,-0.294990,1.715667
[1625016161.120630] accel,-1.260412,-10.574401,1.022743,gyro,0.844751,-0.294990,1.715667
[1625016161.123415] accel,-1.260412,-10.574401,1.022743,gyro,0.727814,-0.371785,1.832604
[1625016161.125731] accel,-1.379261,-10.696375,0.906344,gyro,0.727814,-0.371785,1.832604
[1625016161.128492] accel,-1.379261,-10.696375,0.906344,gyro,0.602150,-0.467778,1.954777
[1625016161.137588] accel,-1.358934,-10.844328,0.495743,gyro,0.534082,-0.462542,2.078696
[1625016161.138609] accel,-1.379232,-10.753393,0.107622,gyro,0.584697,-0.418909,2.235775
[1625016161.146737] accel,-1.684444,-11.539606,0.213769,gyro,0.666727,-0.370039,2.420780
[1625016161.147549] accel,-2.463315,-10.556114,0.064875,gyro,0.666727,-0.370039,2.420780
[1625016161.148553] accel,-2.463315,-10.556114,0.064875,gyro,0.666727,-0.300226,2.593568
[1625016161.151043] accel,-2.711285,-10.700831,-0.037350,gyro,0.666727,-0.300226,2.593568
[1625016161.151858] accel,-3.009779,-10.626303,-0.266570,gyro,0.666727,-0.300226,2.593568
[1625016161.155174] accel,-3.009779,-10.626303,-0.266570,gyro,0.663237,-0.204233,2.747157
[1625016161.156203] accel,-3.279562,-10.241841,-0.375470,gyro,0.663237,-0.204233,2.747157
[1625016161.159239] accel,-3.279562,-10.241841,-0.375470,gyro,0.478232,-0.062861,2.904236
[1625016161.160600] accel,-3.608767,-9.899558,-0.223101,gyro,0.478232,-0.062861,2.904236
[1625016161.163102] accel,-3.608767,-9.899558,-0.223101,gyro,0.223414,0.088982,3.045608
[1625016161.165883] accel,-2.607237,-9.287792,-0.552920,gyro,0.223414,0.088982,3.045608
[1625016161.167077] accel,-2.607237,-9.287792,-0.552920,gyro,0.061098,0.232099,3.087496
[1625016161.171315] accel,-2.636581,-9.371102,0.196192,gyro,0.061098,0.232099,3.087496
[1625016161.172184] accel,-3.010707,-10.263131,1.511766,gyro,0.061098,0.232099,3.087496
[1625016161.175350] accel,-3.010707,-10.263131,1.511766,gyro,0.000012,0.277478,3.139856
[1625016161.176330] accel,-3.971929,-11.005198,2.178945,gyro,0.000012,0.277478,3.139856
[1625016161.179186] accel,-3.971929,-11.005198,2.178945,gyro,-0.349054,0.209410,2.944379
[1625016161.181368] accel,-4.027958,-12.080280,0.738376,gyro,-0.349054,0.209410,2.944379
[1625016161.183298] accel,-4.027958,-12.080280,0.738376,gyro,-0.891851,0.043604,2.054261
[1625016161.185517] accel,-3.628762,-9.898144,-0.721454,gyro,-0.891851,0.043604,2.054261
[1625016161.187151] accel,-3.628762,-9.898144,-0.721454,gyro,-0.675431,0.052330,1.855293
[1625016161.190691] accel,-3.042761,-9.786089,-0.680558,gyro,-0.675431,0.052330,1.855293
[1625016161.191480] accel,-2.692171,-10.481217,0.132752,gyro,-0.675431,0.052330,1.855293
[1625016161.195422] accel,-2.692171,-10.481217,0.132752,gyro,-0.441557,0.226863,1.898926
[1625016161.196214] accel,-2.542560,-10.580668,0.855860,gyro,-0.441557,0.226863,1.898926
[1625016161.198946] accel,-2.542560,-10.580668,0.855860,gyro,-0.448538,0.331583,1.958268
[1625016161.200494] accel,-2.652268,-10.463841,1.069677,gyro,-0.448538,0.331583,1.958268
[1625016161.202866] accel,-2.652268,-10.463841,1.069677,gyro,-0.506134,0.317620,1.996665
